Spanish,Part of Speech,Synonyms,ShortDef,Definition,Sentences,Audio
ir,verb,"andar, marchar","<span class=""pos verb vi"">{vi} <span class=""usage"">to go</span></span>
<span class=""pos verb vr reflexive"">{vr} <span class=""usage"">to go away, leave, be off</span></span>","<span class=""pos verb vi"">{vi} <span class=""usage"">to go (away from speaker and listener); to come (towards or with the listener)</span></span>
<span class=""pos verb v"">{v} <span class=""tag"">[auxiliary]:</span><span class=""usage"">to (with a followed by the infinitive) to be going to (near future), go</span></span>
<span class=""pos verb vr reflexive"">{vr} <span class=""usage"">to go away, leave, be off (see irse)</span></span>","<span class=""spa"">Esta noche nos vamos a la iglesia.</span><br>
<span class=""eng"">Tonight we're going to church.</span><br>
<span class=""spa"">Tom no va a un colegio bueno.</span><br>
<span class=""eng"">Tom doesn't go to a good school.</span><br>
<span class=""spa"">El domingo pasado, Mary y yo fuimos juntos a la biblioteca.</span><br>
<span class=""eng"">Last Sunday, Mary and I went to the library together.</span>",[sound:VVY3YI67VF2ASVD4MX5WKYSHTUS5SQQH.mp3]
estar,verb,,"<span class=""pos verb v"">{v} <span class=""usage"">to be</span></span>
<span class=""pos verb vr reflexive"">{vr} <span class=""usage"">to be, feel</span></span>","<span class=""pos verb v"">{v} <span class=""usage"">to be (have a (transient) location in space). Compare ser, quedar; to be (Denotes a copula, in a transient fashion). Compare ser; to be (Auxiliary verb for the progressive/continuous aspect) (precedes the gerund of the verb); to be (in the passive voice sense)</span></span>
<span class=""pos verb vr reflexive"">{vr} <span class=""usage"">to be, feel (Denotes a copula, in a transient fashion)</span></span>","<span class=""spa"">Estate seguro de ti mismo.</span><br>
<span class=""eng"">Be confident.</span><br>
<span class=""spa"">Todo el mundo está riéndose.</span><br>
<span class=""eng"">Everyone's laughing.</span><br>
<span class=""spa"">Salí a pesar de que estaba lloviendo.</span><br>
<span class=""eng"">I went out even though it was raining.</span>",[sound:DWMP2O6RD24WBWJ5ZERRGBBQNNWC6OCE.mp3]
ser,verb,,"<span class=""pos verb v""> <span class=""usage"">to be (essentially or identified as)</span></span>","<span class=""pos verb v"">{v} <span class=""usage"">to be (essentially or identified as); to be (in the passive voice sense); to exist; to occur</span></span>
<span class=""pos noun m"">{m} <span class=""usage"">a being, organism; nature, essence; value, worth</span></span>","<span class=""spa"">Él es un trabajador autónomo.</span><br>
<span class=""eng"">He's self-employed.</span><br>
<span class=""spa"">Las primeras impresiones pueden a menudo ser engañosas.</span><br>
<span class=""eng"">First impressions can often be misleading.</span><br>
<span class=""spa"">No puedes ser una mujer.</span><br>
<span class=""eng"">You can't be a woman.</span>",[sound:QYVE7ZBMKFHB2NA2P3FDCTOWJKVURMQS.mp3]
haber,verb,,"<span class=""pos verb v""> <span class=""tag"">[auxiliary verb taking past participle to build various perfect tenses]:</span><span class=""usage"">to have</span></span>","<span class=""pos verb v"">{v} <span class=""tag"">[auxiliary verb taking past participle to build various perfect tenses]:</span><span class=""usage"">to have</span></span>
<span class=""pos verb v""> <span class=""usage"">to hold; to possess; to used to denote a past obligation</span></span>
<span class=""pos verb v""> <span class=""tag"">[impersonal, in third person singular only]:</span><span class=""usage"">to exist; to “there is”, “there are” (hay); to “there was”, “there were” (había)</span></span>
<span class=""pos verb v""> <span class=""tag"">[with “de” + infinitive]:</span><span class=""usage"">to have to do</span></span>
<span class=""pos noun m"">{m} <span class=""usage"">asset; history; credit side</span></span>","<span class=""spa"">¡No hay quién lo aguante!</span><br>
<span class=""eng"">How annoying!</span><br>
<span class=""spa"">En lugar de haber menos accidentes hay más.</span><br>
<span class=""eng"">Instead of fewer accidents there are more.</span><br>
<span class=""spa"">Tom ha consentido estar aquí a las 2:30, pero aún no está aquí.</span><br>
<span class=""eng"">Tom agreed to be here at 2:30, but he's not here yet.</span>",[sound:DCIAW6ET7MYVREZHSZODVFPSCF7D6SS7.mp3]
tener,verb,,"<span class=""pos verb vt"">{vt} <span class=""usage"">to have, possess</span></span>
<span class=""pos verb vr reflexive"">{vr} <span class=""usage"">to be taken</span></span>","<span class=""pos verb vt"">{vt} <span class=""usage"">to have, possess (literally); to have, possess, be (a condition or quality); to hold, grasp; to contain, hold (e.g. to ""hold the power to"", ""hold the key"", ""hold a clue"", ""hold the truth"", ""have a hold on"", ""hold in store"", ""hold all the cards"", ""hold in high regard"", etc.); to have, feel (internally); to make to feel; to have (a measure or age)</span></span>
<span class=""pos verb v"">{v} <span class=""usage"">to [used with que] To have to; to get (e.g. to get a minute, to get an idea, to get a chance, to get a concussion/bruise/headache, to get in an accident, to get a place, to get a view of, to get a meeting, to get a vision, etc.); to keep, bear (in certain phrases; e.g. to bear in mind, bear a resemblance, keep a journal/diary, keep around something or someone); to make (in a few select phrases)</span></span>
<span class=""pos verb vr reflexive"">{vr} <span class=""usage"">to be taken (usually has deber for an auxiliary verb when used)</span></span>","<span class=""spa"">Me tiene ardido con lo que me dijo.</span><br>
<span class=""eng"">I was burned up by what he said.</span><br>
<span class=""spa"">Tuve cuidado de no dejar ninguna prueba.</span><br>
<span class=""eng"">I was careful to not leave any evidence.</span><br>
<span class=""spa"">Tom no tenía nadie a quien acudir que le ayude.</span><br>
<span class=""eng"">Tom had no one to turn to for help.</span>",[sound:IREWIIAQFMVE4MSE2R43WJHSBQESQV2J.mp3]
hacer,verb,,"<span class=""pos verb v"">{v} <span class=""usage"">to do</span></span>
<span class=""pos verb vr reflexive"">{vr} <span class=""usage"">to become</span></span>","<span class=""pos verb v"">{v} <span class=""usage"">to do; to make (something); to make (eg. someone do something or feel a certain way.); to play (a part in a play)</span></span>
<span class=""pos verb vr reflexive"">{vr} <span class=""usage"">to become; to get; to get used to; to sham, dissimulate</span></span>
<span class=""pos noun m"">{m} <span class=""usage"">doing, action</span></span>","<span class=""spa"">Su carcajada hizo eco por toda la casa.</span><br>
<span class=""eng"">Her laughter echoed through the house.</span><br>
<span class=""spa"">¿Qué os apetece hacer esta noche?</span><br>
<span class=""eng"">What do you feel like doing tonight?</span><br>
<span class=""spa"">Tom no tenía derecho de tratar a Mary así como lo hizo.</span><br>
<span class=""eng"">Tom had no right to treat Mary that way.</span>",[sound:SUYS3VWW6TSR2ZSKSSXZ6DDY253YBYGN.mp3]
poder,verb,,"<span class=""pos verb v""> <span class=""usage"">to be able, can</span></span>","<span class=""pos verb v"">{v} <span class=""usage"">to be able, can</span></span>
<span class=""pos verb vr reflexive el-salvador only-central-america only-el-salvador only-latin-america"">{vr} <span class=""tag"">[El Salvador, colloquial]:</span><span class=""usage"">to be familiar with something, or with somebody's personality</span></span>
<span class=""pos noun m"">{m} <span class=""usage"">power, reign; authorization; proxy (written certificate of authority to act for another)</span></span>","<span class=""spa"">Él dijo que podía nadar bien.</span><br>
<span class=""eng"">He said he could swim well.</span><br>
<span class=""spa"">El rey abusaba de su poder.</span><br>
<span class=""eng"">The king abused his power.</span><br>
<span class=""spa"">Tom está bastante seguro de no poder quedarse embarazado.</span><br>
<span class=""eng"">Tom is pretty sure that he can't become pregnant.</span>",[sound:OE5HYAQKS2FZGZ5IYQFGHZ7GKX6FAHP2.mp3]
decir,verb,"avisar, llamar","<span class=""pos verb v"">{v} <span class=""usage"">to say, tell</span></span>
<span class=""pos verb vr reflexive"">{vr} <span class=""usage"">to be said, say</span></span>","<span class=""pos verb v"">{v} <span class=""usage"">to say, tell; to suggest; to show; to demonstrate; to call; to name</span></span>
<span class=""pos verb vr reflexive"">{vr} <span class=""usage"">to be said, say [when a specific subject is not identified]</span></span>
<span class=""pos noun m"">{m} <span class=""usage"">saying; idle talk</span></span>","<span class=""spa"">¿Qué quieres decir con relativismo cultural?</span><br>
<span class=""eng"">What do you mean by cultural relativism?</span><br>
<span class=""spa"">Me tiene ardido con lo que me dijo.</span><br>
<span class=""eng"">I was burned up by what he said.</span><br>
<span class=""spa"">Su doctor le dijo a Tom que se quedara en cama.</span><br>
<span class=""eng"">Tom was told by his doctor to remain in bed.</span>",[sound:4KB3DLTL4JQC2HOPFUAW5IQKY3A6OZHF.mp3]
saber,verb,,"<span class=""pos verb v"">{v} <span class=""usage"">to know (a fact)</span></span>
<span class=""pos verb vr reflexive"">{vr} <span class=""usage"">to be known</span></span>","<span class=""pos verb v"">{v} <span class=""usage"">to know (a fact); to know how to do something; to taste; to realize, know (e.g. recognize); to tell, know (i.e. to discern or distinguish if something is the case); to hear from (+ de); to hear of, hear about, (+ de); to learn of, learn about, find out about, know about (+ de)</span></span>
<span class=""pos verb v""> <span class=""tag"">[in the preterite tense]:</span><span class=""usage"">to find out, learn</span></span>
<span class=""pos verb v""> <span class=""tag"">[colloquial]:</span><span class=""usage"">to figure out</span></span>
<span class=""pos verb vr reflexive"">{vr} <span class=""usage"">to be known; to know (extremely well)</span></span>
<span class=""pos noun m"">{m} <span class=""usage"">knowledge</span></span>","<span class=""spa"">Todo el mundo lo sabía.</span><br>
<span class=""eng"">Everybody knew.</span><br>
<span class=""spa"">Si cambiara su opinión, hágamelo saber.</span><br>
<span class=""eng"">If you change your mind, let me know.</span><br>
<span class=""spa"">Tom es la única persona que sabe acerca de esto.</span><br>
<span class=""eng"">Tom is the only person who knows about this.</span>",[sound:M3I6DV555Q4FGXQDLH7DK53PQBEXMYJ3.mp3]
querer,verb,,"<span class=""pos verb v""> <span class=""usage"">to desire, want, want to; to love</span></span>","<span class=""pos verb v"">{v} <span class=""usage"">to desire, want, want to; to love; to be fond of; to mean to, try to</span></span>
<span class=""pos verb v""> <span class=""tag"">[as an indication of a request]:</span><span class=""usage"">to would you ... ?</span></span>
<span class=""pos noun m"">{m} <span class=""usage"">love; affection; fondness</span></span>","<span class=""spa"">Adonde quiero ir es a Boston.</span><br>
<span class=""eng"">Boston is where I want to go.</span><br>
<span class=""spa"">Lo que quiero no es té, sino café.</span><br>
<span class=""eng"">What I want isn't tea, but coffee.</span><br>
<span class=""spa"">Tom siempre quería visitar a Mary, pero él nunca tuvo la oportunidad.</span><br>
<span class=""eng"">Tom always wanted to visit Mary, but he never had the chance.</span>",[sound:4ARF2X6DLVP7BANEOOBJAWONUPQ63SSE.mp3]
bien,adv,,"<span class=""pos adv""> <span class=""usage"">well; well, fine, okay</span></span>","<span class=""pos adv"">{adv} <span class=""usage"">well (adverbial form of bueno); well, fine, okay (state of being satisfied with the status quo); hasta aquí todo bien ― so far so good; properly; willingly; very; as well</span></span>
<span class=""pos adj"">{adj} <span class=""tag"">[postpositive, colloquial]:</span><span class=""usage"">well-to-do; affluent; wealthy; upper-class; exclusive; upscale; high-class</span></span>
<span class=""pos noun m"">{m} <span class=""usage"">good (as opposed to evil); goodness; good, better [substantive]; welfare, benefit; (plural) goods, property, possessions, assets, wealth, estate</span></span>","<span class=""spa"">Él dijo que podía nadar bien.</span><br>
<span class=""eng"">He said he could swim well.</span><br>
<span class=""spa"">Él no distingue el bien del mal.</span><br>
<span class=""eng"">He cannot tell right from wrong.</span><br>
<span class=""spa"">Ella dejó bien claro que se quería casar con él.</span><br>
<span class=""eng"">She made it plain that she wanted to marry him.</span>",[sound:4UQTZTKBPHWLF2A24AHLDMWXZU43OKTN.mp3]
