position,spanish,pos
bordo,a bordo,adv
diario,a diario,adv
embargo,sin embargo,adv
general,en general,adv
inmediato,de inmediato,adv
media,a medias,adv
menudo,a menudo,adv
repente,de repente,adv
respecto,al respecto,adv
supuesto,por supuesto,adv
través,a través de,adv
veras,de veras,adv
cuidado,cuidado,interj
entendido,entendido,interj
cómo,cómo,interj
iris,arco iris,n
obstante,no obstante,conj
acerca,acerca de,prep
alimón,al alimón,adv
apa,al apa,adv
bajini,por lo bajini,adv
bocajarro,a bocajarro,adv
bolá,qué bolá,phrase
cabalidad,a cabalidad,adv
capela,a capela,adv
caravista,ladrillo caravista,m
carpetazo,dar carpetazo,v
consuno,de consuno,adv
contramano,a contramano,adv
contrapelo,a contrapelo,adv
contrapié,a contrapié,adv
contraruta,en contraruta,adv
crucis,vía crucis,m
cuentapropia,por cuentapropia,adv
detal,al detal,adv
dimes,dimes y diretes,fp
diretes,dimes y diretes,fp
entrecasa,de entrecasa,adj
facto,de facto,adv
fraganti,in fraganti,adv
garete,irse al garete,v
géneris,sui géneris,adj
glas,azúcar glas,m
Habana,La Habana,f
horcajadas,a horcajadas,adv
inri,para más inri,adv
ires,ires y venires,mp
lirondo,mondo y lirondo,adj
mansalva,a mansalva,adv
moliente,corriente y moliente,adj
murique,mero murique,m
perogrullo,verdad de perogrullo,f
pispás,en un pispás,adv
priori,a priori,adv
quemarropa,a quemarropa,adv
rajatabla,a rajatabla,adv
refilón,de refilón,adv
regañadientes,a regañadientes,adv
reojo,de reojo,adv
repanocha,ser la repanocha,adv
sabiendas,a sabiendas,adv
sancto,non sancto,adj
sopetón,de sopetón,adv
tresbolillo,a tresbolillo,adv
troche,a troche y moche,adv
tuntún,al tuntún,adv
tutiplén,a tutiplén,adv
venires,ires y venires,mp
vilo,en vilo,adv
